geneIDs	logFC	logCPM	FDR	edgeR.pvalue	BPGO	MFGO
1	TRINITY_DN292384_c0_g1	23.888195776376	8.56927986057527	9.14744634541312e-12	1.30044471469524e-13	negative regulation of gene expression [GO:0010629]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
2	TRINITY_DN314832_c0_g1	20.3830878235088	6.8847674789197	1.01065429432974e-08	3.39605966430671e-10	protein methylation [GO:0006479]	methyltransferase activity [GO:0008168]
3	TRINITY_DN298805_c0_g2	19.0667148737691	5.53839403170212	1.55588477340137e-06	6.88711515205131e-08		peptidase activity [GO:0008233]
4	TRINITY_DN311414_c0_g1	22.0342162174369	9.31070399782299	1.18268473397764e-12	4.85651903432776e-15	cytoplasmic translation [GO:0002181]	GTP binding [GO:0005525]
5	TRINITY_DN311774_c0_g1	23.0314020762896	8.16950450288644	4.95817996195361e-11	9.77218021580518e-13		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
6	TRINITY_DN276607_c0_g1	20.4166006849997	6.83803402273126	9.72462950266795e-09	3.23630642576672e-10	tRNA wobble uridine modification [GO:0002098]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; tRNA (uracil) methyltransferase activity [GO:0016300]; tRNA binding [GO:0000049]
7	TRINITY_DN312093_c0_g7	22.1153091454244	10.9939885012046	1.17579102156106e-13	3.79900168517306e-17		metal ion binding [GO:0046872]
8	TRINITY_DN311418_c0_g2	23.5063441439112	7.72626011474691	1.14099163009727e-09	3.17044524033491e-11	negative regulation of axon extension [GO:0030517]	guanyl-nucleotide exchange factor activity [GO:0005085]
9	TRINITY_DN312003_c1_g6	20.4429193732125	6.2032394462178	2.24938559115897e-07	8.57600968519413e-09	cellular response to nerve growth factor stimulus [GO:1990090]; endocytic recycling [GO:0032456]	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]
10	TRINITY_DN254309_c0_g1	24.4763234462992	8.2152659615535	2.36335588294278e-10	5.95611498770717e-12	ATP hydrolysis coupled proton transport [GO:0015991]; unidimensional cell growth [GO:0009826]	proton-exporting ATPase activity, phosphorylative mechanism [GO:0008553]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
11	TRINITY_DN311783_c0_g2	21.6630384437546	9.69691739341026	6.09261404805346e-13	7.23158531044022e-16		ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]
12	TRINITY_DN312752_c3_g1	22.092277093671	9.16905281838579	1.07248507091295e-12	3.11869649053848e-15	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]
13	TRINITY_DN299729_c1_g1	20.4531956127758	8.24668583584893	5.30173150728726e-12	6.16679593739391e-14		translation initiation factor activity [GO:0003743]
14	TRINITY_DN314234_c0_g5	24.9354642513911	10.073906084018	1.90575791791826e-12	1.10956879093385e-14	cellular response to DNA damage stimulus [GO:0006974]; DNA replication [GO:0006260]	double-stranded DNA binding [GO:0003690]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
15	TRINITY_DN295269_c0_g3	20.6640831516458	6.33302652852744	1.73134638731818e-07	6.54499280504773e-09	activation of MAPKK activity [GO:0000186]; activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; central complex development [GO:0048036]; intestinal stem cell homeostasis [GO:0036335]; mushroom body development [GO:0016319]; negative regulation of organ growth [GO:0046621]; ovarian follicle cell development [GO:0030707]; positive regulation of endocytosis [GO:0045807]; positive regulation of hippo signaling [GO:0035332]; protein phosphorylation [GO:0006468]; response to cocaine [GO:0042220]; response to ethanol [GO:0045471]; response to nicotine [GO:0035094]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]; tissue homeostasis [GO:0001894]	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
16	TRINITY_DN314834_c0_g2	22.4431451857679	9.20949788784889	1.22765576275508e-12	5.55320861989373e-15	nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]	
17	TRINITY_DN296278_c0_g3	19.7368360232981	7.84855591158132	9.96610940710982e-11	2.3506493916608e-12	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]
18	TRINITY_DN316260_c0_g1	21.2553209743742	7.60055629328642	1.44766315750322e-09	4.06936008732731e-11	cell cycle [GO:0007049]; nucleobase-containing compound metabolic process [GO:0006139]	ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; DNA binding [GO:0003677]
19	TRINITY_DN293332_c0_g1	20.6651077550348	7.73004389736649	8.55044467248733e-11	1.96149134651567e-12		magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
20	TRINITY_DN316951_c1_g2	21.7058923192104	9.76177123949797	7.03836436984776e-13	1.137054017746e-15	embryo development ending in seed dormancy [GO:0009793]; very long-chain fatty acid biosynthetic process [GO:0042761]	3-oxo-arachidoyl-CoA reductase activity [GO:0102339]; 3-oxo-behenoyl-CoA reductase activity [GO:0102340]; 3-oxo-cerotoyl-CoA reductase activity [GO:0102342]; 3-oxo-lignoceroyl-CoA reductase activity [GO:0102341]; acetoacetyl-CoA reductase activity [GO:0018454]; ketoreductase activity [GO:0045703]
